inn,year,code,value,source,fetched
1402047184,2022,1170,45305758,girbo,2026-09-14
1402047184,2022,1180,1060696,girbo,2026-09-14
1402047184,2022,1190,656025,girbo,2026-09-14
1402047184,2022,1200,15551209,girbo,2026-09-14
1402047184,2022,1210,355523,girbo,2026-09-14
1402047184,2022,1230,8480772,girbo,2026-09-14
1402047184,2022,1240,316491,girbo,2026-09-14
1402047184,2022,1250,6322574,girbo,2026-09-14
1402047184,2022,1260,75849,girbo,2026-09-14
1402047184,2022,1300,32181244,girbo,2026-09-14
1402047184,2022,1310,1030000,girbo,2026-09-14
1402047184,2022,1340,34530,girbo,2026-09-14
1402047184,2022,1350,14956276,girbo,2026-09-14
1402047184,2022,1360,49616,girbo,2026-09-14
1402047184,2022,1370,16110822,girbo,2026-09-14
1402047184,2022,1400,14400051,girbo,2026-09-14
1402047184,2022,1410,14394402,girbo,2026-09-14
1402047184,2022,1420,5649,girbo,2026-09-14
1402047184,2022,1500,18018550,girbo,2026-09-14
1402047184,2022,1510,5537449,girbo,2026-09-14
1402047184,2022,1520,12399764,girbo,2026-09-14
1402047184,2022,1530,0,girbo,2026-09-14
1402047184,2022,1540,81337,girbo,2026-09-14
1402047184,2022,1600,64599845,girbo,2026-09-14
1402047184,2022,1700,64599845,girbo,2026-09-14
1402047184,2022,2100,41396,girbo,2026-09-14
1402047184,2022,2110,869308,girbo,2026-09-14
1402047184,2022,2120,827912,girbo,2026-09-14
1402047184,2022,2200,-775788,girbo,2026-09-14
1402047184,2022,2220,817184,girbo,2026-09-14
1402047184,2022,2300,1800387,girbo,2026-09-14
1402047184,2022,2310,4958419,girbo,2026-09-14
1402047184,2022,2320,987638,girbo,2026-09-14
1402047184,2022,2330,2230410,girbo,2026-09-14
1402047184,2022,2340,30596140,girbo,2026-09-14
1402047184,2022,2350,31735612,girbo,2026-09-14
1402047184,2022,2400,2287056,girbo,2026-09-14
1402047184,2022,2410,486669,girbo,2026-09-14
1402047184,2022,2500,2287056,girbo,2026-09-14
1402047184,2022,3600,32181244,girbo,2026-09-14
1402047184,2022,4100,2396343,girbo,2026-09-14
1402047184,2022,4110,26064889,girbo,2026-09-14
1402047184,2022,4111,5397890,girbo,2026-09-14
1402047184,2022,4119,250699,girbo,2026-09-14
1402047184,2022,4120,23668546,girbo,2026-09-14
1402047184,2022,4121,877712,girbo,2026-09-14
1402047184,2022,4122,1186350,girbo,2026-09-14
1402047184,2022,4123,2010987,girbo,2026-09-14
1402047184,2022,4124,0,girbo,2026-09-14
1402047184,2022,4129,809028,girbo,2026-09-14
1402047184,2022,4200,-5107948,girbo,2026-09-14
1402047184,2022,4210,3287355,girbo,2026-09-14
1402047184,2022,4211,1522485,girbo,2026-09-14
1402047184,2022,4212,0,girbo,2026-09-14
1402047184,2022,4213,1405835,girbo,2026-09-14
1402047184,2022,4214,359035,girbo,2026-09-14
1402047184,2022,4220,8395303,girbo,2026-09-14
1402047184,2022,4221,940041,girbo,2026-09-14
1402047184,2022,4222,2738660,girbo,2026-09-14
1402047184,2022,4223,4404767,girbo,2026-09-14
1402047184,2022,4229,311835,girbo,2026-09-14
1402047184,2022,4300,8429371,girbo,2026-09-14
1402047184,2022,4310,46519761,girbo,2026-09-14
1402047184,2022,4311,29083376,girbo,2026-09-14
1402047184,2022,4313,1886028,girbo,2026-09-14
1402047184,2022,4314,14165948,girbo,2026-09-14
1402047184,2022,4319,1384409,girbo,2026-09-14
1402047184,2022,4320,38090390,girbo,2026-09-14
1402047184,2022,4322,4460224,girbo,2026-09-14
1402047184,2022,4323,31909719,girbo,2026-09-14
1402047184,2022,4329,1720447,girbo,2026-09-14
1402047184,2022,4400,5717766,girbo,2026-09-14
1402047184,2022,4450,474866,girbo,2026-09-14
1402047184,2022,4490,129942,girbo,2026-09-14
1402047184,2022,4500,6322574,girbo,2026-09-14
1402047184,2022,6100,0,girbo,2026-09-14
1402047184,2022,6400,0,girbo,2026-09-14
1402047184,2022,prev1100,46720690,girbo,2026-09-14
1402047184,2022,prev1150,2462030,girbo,2026-09-14
1402047184,2022,prev1160,826,girbo,2026-09-14
1402047184,2022,prev1170,43032456,girbo,2026-09-14
1402047184,2022,prev1180,778552,girbo,2026-09-14
1402047184,2022,prev1190,446826,girbo,2026-09-14
1402047184,2022,prev1200,2137320,girbo,2026-09-14
1402047184,2022,prev1210,20268,girbo,2026-09-14
1402047184,2022,prev1230,1451607,girbo,2026-09-14
1402047184,2022,prev1240,132579,girbo,2026-09-14
1402047184,2022,prev1250,474866,girbo,2026-09-14
1402047184,2022,prev1260,58000,girbo,2026-09-14
1402047184,2022,prev1300,32473758,girbo,2026-09-14
1402047184,2022,prev1310,992355,girbo,2026-09-14
1402047184,2022,prev1340,38621,girbo,2026-09-14
1402047184,2022,prev1350,13107894,girbo,2026-09-14
1402047184,2022,prev1360,49616,girbo,2026-09-14
1402047184,2022,prev1370,18285272,girbo,2026-09-14
1402047184,2022,prev1400,12422572,girbo,2026-09-14
1402047184,2022,prev1410,12212398,girbo,2026-09-14
1402047184,2022,prev1420,210174,girbo,2026-09-14
1402047184,2022,prev1500,3961680,girbo,2026-09-14
1402047184,2022,prev1510,2304543,girbo,2026-09-14
1402047184,2022,prev1520,1606337,girbo,2026-09-14
1402047184,2022,prev1540,50800,girbo,2026-09-14
1402047184,2022,prev1600,48858010,girbo,2026-09-14
1402047184,2022,prev1700,48858010,girbo,2026-09-14
1402047184,2022,prev2100,28490,girbo,2026-09-14
1402047184,2022,prev2110,598295,girbo,2026-09-14
1402047184,2022,prev2120,569805,girbo,2026-09-14
1402047184,2022,prev2200,-490556,girbo,2026-09-14
1402047184,2022,prev2220,519046,girbo,2026-09-14
1402047184,2022,prev2300,4272214,girbo,2026-09-14
1402047184,2022,prev2310,3604400,girbo,2026-09-14
1402047184,2022,prev2320,519624,girbo,2026-09-14
1402047184,2022,prev2330,772523,girbo,2026-09-14
1402047184,2022,prev2340,16115930,girbo,2026-09-14
1402047184,2022,prev2350,14704661,girbo,2026-09-14
1402047184,2022,prev2400,4170053,girbo,2026-09-14
1402047184,2022,prev2410,-102161,girbo,2026-09-14
1402047184,2022,prev2500,4170053,girbo,2026-09-14
1402047184,2022,prev3600,32473758,girbo,2026-09-14
1402047184,2022,prev4100,-4141926,girbo,2026-09-14
1402047184,2022,prev4110,32257720,girbo,2026-09-14
1402047184,2022,prev4111,1855682,girbo,2026-09-14
1402047184,2022,prev4119,192261,girbo,2026-09-14
1402047184,2022,prev4120,36399646,girbo,2026-09-14
1402047184,2022,prev4121,377846,girbo,2026-09-14
1402047184,2022,prev4122,819623,girbo,2026-09-14
1402047184,2022,prev4123,826493,girbo,2026-09-14
1402047184,2022,prev4124,51671,girbo,2026-09-14
1402047184,2022,prev4129,546031,girbo,2026-09-14
1402047184,2022,prev4200,111079,girbo,2026-09-14
1402047184,2022,prev4210,4367515,girbo,2026-09-14
1402047184,2022,prev4211,167,girbo,2026-09-14
1402047184,2022,prev4212,20943,girbo,2026-09-14
1402047184,2022,prev4213,419984,girbo,2026-09-14
1402047184,2022,prev4214,3926421,girbo,2026-09-14
1402047184,2022,prev4220,4256436,girbo,2026-09-14
1402047184,2022,prev4221,796463,girbo,2026-09-14
1402047184,2022,prev4222,349893,girbo,2026-09-14
1402047184,2022,prev4223,2801028,girbo,2026-09-14
1402047184,2022,prev4229,309052,girbo,2026-09-14
1402047184,2022,prev4300,2699504,girbo,2026-09-14
1402047184,2022,prev4310,15961296,girbo,2026-09-14
1402047184,2022,prev4311,14937466,girbo,2026-09-14
1402047184,2022,prev4319,1023830,girbo,2026-09-14
1402047184,2022,prev4320,13261792,girbo,2026-09-14
1402047184,2022,prev4322,1980018,girbo,2026-09-14
1402047184,2022,prev4323,8928589,girbo,2026-09-14
1402047184,2022,prev4329,2353185,girbo,2026-09-14
1402047184,2022,prev4400,-1331343,girbo,2026-09-14
1402047184,2022,prev4450,1821041,girbo,2026-09-14
1402047184,2022,prev4490,-14832,girbo,2026-09-14
1402047184,2022,prev4500,474866,girbo,2026-09-14
1402047184,2023,1100,70914600,girbo,2026-09-14
1402047184,2023,1110,22715,girbo,2026-09-14
1402047184,2023,1150,2804923,girbo,2026-09-14
1402047184,2023,1160,1331,girbo,2026-09-14
1402047184,2023,1170,64932817,girbo,2026-09-14
1402047184,2023,1180,2560159,girbo,2026-09-14
1402047184,2023,1190,592655,girbo,2026-09-14
1402047184,2023,1200,14081890,girbo,2026-09-14
1402047184,2023,1210,28702,girbo,2026-09-14
1402047184,2023,1230,7616756,girbo,2026-09-14
1402047184,2023,1240,124193,girbo,2026-09-14
1402047184,2023,1250,6211049,girbo,2026-09-14
1402047184,2023,1260,101190,girbo,2026-09-14
1402047184,2023,1300,44528246,girbo,2026-09-14
1402047184,2023,1310,1030000,girbo,2026-09-14
1402047184,2023,1340,34530,girbo,2026-09-14
1402047184,2023,1350,14956276,girbo,2026-09-14
1402047184,2023,1360,51500,girbo,2026-09-14
1402047184,2023,1370,28455940,girbo,2026-09-14
1402047184,2023,1400,38487619,girbo,2026-09-14
1402047184,2023,1410,35394447,girbo,2026-09-14
1402047184,2023,1420,2738265,girbo,2026-09-14
1402047184,2023,1450,354907,girbo,2026-09-14
1402047184,2023,1500,1980625,girbo,2026-09-14
1402047184,2023,1510,19971,girbo,2026-09-14
1402047184,2023,1520,1857069,girbo,2026-09-14
1402047184,2023,1540,103585,girbo,2026-09-14
1402047184,2023,1600,84996490,girbo,2026-09-14
1402047184,2023,1700,84996490,girbo,2026-09-14
1402047184,2023,2100,69329,girbo,2026-09-14
1402047184,2023,2110,1455913,girbo,2026-09-14
1402047184,2023,2120,1386584,girbo,2026-09-14
1402047184,2023,2200,-265056,girbo,2026-09-14
1402047184,2023,2220,334385,girbo,2026-09-14
1402047184,2023,2300,15640150,girbo,2026-09-14
1402047184,2023,2310,2658885,girbo,2026-09-14
1402047184,2023,2320,1664683,girbo,2026-09-14
1402047184,2023,2330,2385241,girbo,2026-09-14
1402047184,2023,2340,39466193,girbo,2026-09-14
1402047184,2023,2350,25499314,girbo,2026-09-14
1402047184,2023,2400,14407000,girbo,2026-09-14
1402047184,2023,2410,-1233150,girbo,2026-09-14
1402047184,2023,2412,-1233150,girbo,2026-09-14
1402047184,2023,2500,14407000,girbo,2026-09-14
1402047184,2023,3600,44528246,girbo,2026-09-14
1402047184,2023,4100,-11826662,girbo,2026-09-14
1402047184,2023,4110,41160113,girbo,2026-09-14
1402047184,2023,4111,1236116,girbo,2026-09-14
1402047184,2023,4119,274398,girbo,2026-09-14
1402047184,2023,4120,52986775,girbo,2026-09-14
1402047184,2023,4121,3423831,girbo,2026-09-14
1402047184,2023,4122,1158362,girbo,2026-09-14
1402047184,2023,4123,2195845,girbo,2026-09-14
1402047184,2023,4124,5148,girbo,2026-09-14
1402047184,2023,4129,1099947,girbo,2026-09-14
1402047184,2023,4200,4695618,girbo,2026-09-14
1402047184,2023,4210,11439606,girbo,2026-09-14
1402047184,2023,4211,13740,girbo,2026-09-14
1402047184,2023,4213,3032331,girbo,2026-09-14
1402047184,2023,4214,8393535,girbo,2026-09-14
1402047184,2023,4220,6743988,girbo,2026-09-14
1402047184,2023,4221,113691,girbo,2026-09-14
1402047184,2023,4222,1000,girbo,2026-09-14
1402047184,2023,4223,5786140,girbo,2026-09-14
1402047184,2023,4229,843157,girbo,2026-09-14
1402047184,2023,4300,7019518,girbo,2026-09-14
1402047184,2023,4310,25360697,girbo,2026-09-14
1402047184,2023,4311,6656000,girbo,2026-09-14
1402047184,2023,4313,0,girbo,2026-09-14
1402047184,2023,4314,18394991,girbo,2026-09-14
1402047184,2023,4319,309706,girbo,2026-09-14
